event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
2026-02-14T14:15:00Z,AX-NKNU-29C1,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,RZ-6ZL9-CZ7J,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,TJ-6LOP-OPEU,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,VF-3T0K-DR5O,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,XH-0LAE-FQO5,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,XY-UM2X-TPS3,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,YC-3L3M-BV48,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,4W-VS57-BV6A,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,6V-EEC1-2S9Z,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,AX-NKNU-29C1,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,RZ-6ZL9-CZ7J,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,TJ-6LOP-OPEU,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,VF-3T0K-DR5O,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,XH-0LAE-FQO5,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,XY-UM2X-TPS3,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:45:00Z,YC-3L3M-BV48,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,4W-VS57-BV6A,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,6V-EEC1-2S9Z,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,AX-NKNU-29C1,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,RZ-6ZL9-CZ7J,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,TJ-6LOP-OPEU,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,VF-3T0K-DR5O,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,XH-0LAE-FQO5,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,XY-UM2X-TPS3,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T15:12:57Z,YC-3L3M-BV48,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,4W-VS57-BV6A,,,44.99,44.99,44.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,6V-EEC1-2S9Z,,,10.64,10.64,10.64,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,AX-NKNU-29C1,,,3.99,3.99,3.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,JB-RGB6-LZOJ,,,7.49,9.99,7.49,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY""]"
2026-02-14T16:00:00Z,RZ-6ZL9-CZ7J,,,7.99,7.99,7.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,TJ-6LOP-OPEU,,,9.00,9.00,9.00,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,VF-3T0K-DR5O,,,9.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,XH-0LAE-FQO5,,,8.99,8.99,8.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,XY-UM2X-TPS3,,,15.00,15.00,15.00,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:00:00Z,YC-3L3M-BV48,,,109.45,109.45,109.45,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,4W-VS57-BV6A,,,44.99,44.99,44.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,6V-EEC1-2S9Z,,,10.64,10.64,10.64,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,AX-NKNU-29C1,,,3.99,3.99,3.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,JB-RGB6-LZOJ,,,7.49,9.99,7.49,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY""]"
2026-02-14T16:27:25Z,RZ-6ZL9-CZ7J,,,7.99,7.99,7.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,TJ-6LOP-OPEU,,,9.00,9.00,9.00,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,VF-3T0K-DR5O,,,9.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,XH-0LAE-FQO5,,,8.99,8.99,8.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,XY-UM2X-TPS3,,,15.00,15.00,15.00,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:27:25Z,YC-3L3M-BV48,,,109.45,109.45,109.45,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:52:26Z,4W-VS57-BV6A,,,44.99,44.99,44.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:52:26Z,6V-EEC1-2S9Z,,,10.64,10.64,10.64,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:52:26Z,AX-NKNU-29C1,,,3.99,3.99,3.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T16:52:26Z,JB-RGB6-LZOJ,,,7.49,9.99,7.49,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY""]"
2026-02-14T16:52:26Z,RZ-6ZL9-CZ7J,,,7.99,7.99,7.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
