Timestamp,ASIN,SKU,"ROI, %",Estimated Sales Velocity
9/27/2024 16:55:14,B0BZ5NYPPD,TT-1DQK-CJFF,,0
9/27/2024 16:55:14,B0BZJ926BP,C1-4N7O-1LWT,,0
9/27/2024 16:55:14,B0C18VY3LL,M1-UFU0-V1X3,,0
9/27/2024 16:55:14,B0C4S2Y186,EO-RQ6J-PAPY,,0
9/27/2024 16:55:14,B0CG4TDDKM,F9-ETRB-6FVQ,,0
9/27/2024 16:55:14,B0D2Y4NPKZ,GD-B8SW-1PCP,,0
9/27/2024 16:55:14,,,,
9/27/2024 16:57:44,B07C8QSSR2,4U-9ZL6-9G0Y,17,22.11
9/27/2024 16:57:44,B006PFN3BW,A2-T2AC-TW3L,8,15.68
9/27/2024 16:57:44,B08KFFY86W,VF-3T0K-DR5O,11,13.17
9/27/2024 16:57:44,B00AOES9GE,XH-0LAE-FQO5,21,6.85
9/27/2024 16:57:44,B07CP2QCYL,ZB-SIAQ-2V7L,14,5.7
9/27/2024 16:57:44,B07SLLYRSP,SU-5LQH-2DVN,25,5.5
9/27/2024 16:57:44,B0B337ZY41,M5-71MK-T0DL,16,4.55
9/27/2024 16:57:44,B00UP5XTPI,9Q-XGAX-ZGBT,77,4.29
9/27/2024 16:57:44,B002QGAF8S,SZ-UL4K-SE7W,-24,4
9/27/2024 16:57:44,B07QQDMJ6M,EV-CHU5-XU3G,60,3.59
9/27/2024 16:57:44,B00Q8JQ9NE,ZA-4RO9-GD8M,47,3.51
9/27/2024 16:57:44,B01G263L1K,1Q-OTO8-JG8E,14,3.22
9/27/2024 16:57:44,B077745NY9,CJ-DLBW-HKFS,-11,3.13
9/27/2024 16:57:44,B0049A27FS,OZ-3NKR-VLYG,45,3
9/27/2024 16:57:44,B00SYI2OCW,3L-1I88-19GF,37,2.85
9/27/2024 16:57:44,B07QGGFKYK,N9-IOWG-NGD9,37,2.67
9/27/2024 16:57:44,B00ARABJZS,PF-7VUQ-LIUC,43,2.44
9/27/2024 16:57:44,B07DNFPY6T,QZ-5ZK7-W02G,60,2.27
9/27/2024 16:57:44,B01H8QOWA2,TK-2H97-E7UH,52,2.18
9/27/2024 16:57:44,B07J9JGZZV,Z7-26PV-O9LR,28,2.17
9/27/2024 16:57:44,B097F7QHFF,16-5NE0-75DT,-12,2.1
9/27/2024 16:57:44,B007R2ICTK,WX-L5UA-UB1Q,889,2
9/27/2024 16:57:44,B0CND68C7W,6E-GK4T-QBFF,73,1.96
9/27/2024 16:57:44,B082L15JYR,V5-VWRV-4S7K,42,1.76
9/27/2024 16:57:44,B08C5L6YMH,BF-KVJ0-RUA9,19,1.72
9/27/2024 16:57:44,B01NBZBC2A,SE-GMXY-FA0M,-23,1.53
9/27/2024 16:57:44,B00VAID1UW,BU-H22U-ACK3,36,1.44
9/27/2024 16:57:44,B084HZRR8G,12-749B-9EB5,29,1.4
9/27/2024 16:57:44,B07NGGSR3D,2U-4KLP-68HB,21,1.36
9/27/2024 16:57:44,B0BHCWWGKS,ON-XPCR-TAZW,28,1.33
9/27/2024 16:57:44,B0001P0DLU,JB-RGB6-LZOJ,64,1.26
9/27/2024 16:57:44,B01JM7KWTK,YV-2E21-62SB,22,1.25
