asof_utc,sku,asin,sale_status,merchant_status,in_stock_flag,writer_mode,parked_flag,park_reason_codes,cpt_tier
2026-02-18T06:42:51Z,L3-ZQ8U-A7LQ,B004I2N5AS,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,L5-PF3B-WHU4,B09LDDFK4R,active,active,1,READ_ONLY,0,,ACTIVE_READONLY
2026-02-18T06:42:51Z,L7-ZGYU-IWOW,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,LF-X542-9TDZ,B07YYG14S1,,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,LG-AZOP-KOUU,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,LH-LOUH-H54B,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,LL-NBBZ-I90A,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,LP-QMNJ-J49G,B0CL5DHG37,,active,1,READ_ONLY,0,,ACTIVE_READONLY
2026-02-18T06:42:51Z,LR-7GM6-1RCH,B08MQB42B3,active,active,1,READ_ONLY,0,,ACTIVE_READONLY
2026-02-18T06:42:51Z,LR-Q5V9-S4GK,B09P244SML,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,LV-425G-BY4X,9188805646,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,LW-0BSW-ZD88,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,LX-K206-ENZX,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,M1-UFU0-V1X3,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
