order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
026-6358115-8330741,-2.46,2.46,026-6358115-8330741,2.73,0.27
206-5916441-0443564,-2.46,2.46,206-5916441-0443564,2.73,0.27
206-5768593-0877906,-2.46,2.46,206-5768593-0877906,2.73,0.27
206-5560544-2504313,-2.46,2.46,206-5560544-2504313,2.73,0.27
203-4763592-6333920,-2.46,2.46,203-4763592-6333920,2.73,0.27
206-5163393-6547549,-2.46,2.46,206-5163393-6547549,2.73,0.27
206-4289515-8949116,-2.46,2.46,206-4289515-8949116,2.73,0.27
026-9776955-5464356,-2.46,2.46,026-9776955-5464356,2.73,0.27
205-2745774-6269909,-2.46,2.46,205-2745774-6269909,2.73,0.27
203-3329700-9020305,-2.46,2.46,203-3329700-9020305,2.73,0.27
026-7962955-0815530,-2.46,2.46,026-7962955-0815530,2.73,0.27
206-3424332-5261955,-2.46,2.46,206-3424332-5261955,2.73,0.27
205-1928444-4345104,-2.46,2.46,205-1928444-4345104,2.73,0.27
206-3348693-9733955,-2.46,2.46,206-3348693-9733955,2.73,0.27
206-3045830-8493152,-2.46,2.46,206-3045830-8493152,2.73,0.27
206-2629113-7496337,-2.46,2.46,206-2629113-7496337,2.73,0.27
206-2764323-6363500,-2.46,2.46,206-2764323-6363500,2.73,0.27
206-2552865-6549123,-2.46,2.46,206-2552865-6549123,2.73,0.27
206-2343337-8559533,-2.46,2.46,206-2343337-8559533,2.73,0.27
205-3960788-9575512,-2.46,2.46,205-3960788-9575512,2.73,0.27
203-1275347-4518757,-2.46,2.46,203-1275347-4518757,2.73,0.27
204-9106697-9548361,-2.46,2.46,204-9106697-9548361,2.73,0.27
204-9203725-8492315,-2.46,2.46,204-9203725-8492315,2.73,0.27
204-9534717-0636306,-2.46,2.46,204-9534717-0636306,2.73,0.27
204-9748213-4291524,-2.46,2.46,204-9748213-4291524,2.73,0.27
203-6007105-4857913,-2.46,2.46,203-6007105-4857913,2.73,0.27
203-6146382-3639543,-2.46,2.46,203-6146382-3639543,2.73,0.27
203-7071470-5371555,-2.46,2.46,203-7071470-5371555,2.73,0.27
203-7586803-6958718,-2.46,2.46,203-7586803-6958718,2.73,0.27
026-9237302-7183523,-2.46,2.46,026-9237302-7183523,2.73,0.27
205-0244104-1771532,-2.46,2.46,205-0244104-1771532,2.73,0.27
203-3371089-4605922,-2.46,2.46,203-3371089-4605922,2.73,0.27
026-8921208-3101905,-2.46,2.46,026-8921208-3101905,2.73,0.27
206-3897310-0459528,-2.46,2.46,206-3897310-0459528,2.73,0.27
203-8712994-0252366,-2.46,2.46,203-8712994-0252366,2.73,0.27
203-8381898-2659535,-2.46,2.46,203-8381898-2659535,2.73,0.27
203-9126566-6100317,-2.46,2.46,203-9126566-6100317,2.73,0.27
204-0237078-5957129,-2.46,2.46,204-0237078-5957129,2.73,0.27
203-8255888-6969142,-2.46,2.46,203-8255888-6969142,2.73,0.27
204-7278025-9190744,-2.46,2.46,204-7278025-9190744,2.73,0.27
204-0145786-5703559,-2.46,2.46,204-0145786-5703559,2.73,0.27
206-7054976-1472300,-2.46,2.46,206-7054976-1472300,2.73,0.27
206-6960490-4335516,-2.46,2.46,206-6960490-4335516,2.73,0.27
206-6832890-6520359,-2.46,2.46,206-6832890-6520359,2.73,0.27
204-0098338-3061177,-2.46,2.46,204-0098338-3061177,2.73,0.27
