sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
US-AK96-YFSB,US-AK96-YFSB-061025-row899,3,0,3,1.25,06/10/25
MW-9K5M-VKW8,MW-9K5M-VKW8-061025-row898,90,0,90,13.65,06/10/25
H4-86XG-NLX6,H4-86XG-NLX6-061025-row897,24,0,24,3.25,06/10/25
R4-0AXZ-ZZ9D,R4-0AXZ-ZZ9D-061025-row894,15,0,15,4.85,06/10/25
N7-A24N-WJA7,N7-A24N-WJA7-061025-row893,50,0,50,3.01,06/10/25
YC-3L3M-BV48,YC-3L3M-BV48-061025-row892,16,0,16,39.61,06/10/25
8M-NHB7-T8TR,8M-NHB7-T8TR-061025-row889,25,0,25,15.26,06/10/25
Z9-FBUQ-EZN3,Z9-FBUQ-EZN3-061025-row888,17,0,17,2.89,06/10/25
4U-XT39-AMUJ,4U-XT39-AMUJ-061025-row887,17,0,17,1.66,06/10/25
MW-1ILH-TLS4,MW-1ILH-TLS4-061025-row886,35,0,35,4.62,06/10/25
F7-PMJ2-SG6A,F7-PMJ2-SG6A-061025-row885,180,0,180,2.7,06/10/25
GH-PONH-K4WQ,GH-PONH-K4WQ-061025-row883,15,0,15,3.78,06/10/25
TU-8I14-25ZR,TU-8I14-25ZR-061025-row882,120,0,120,12.67,06/10/25
EV-CHU5-XU3G,EV-CHU5-XU3G-061025-row881,228,0,228,2.73,06/10/25
GJ-2OZK-0GCA,GJ-2OZK-0GCA-150925-row879,4,0,4,17.5,15/09/25
0G-JB6S-PN34,0G-JB6S-PN34-150925-row878,24,0,24,2.74,15/09/25
2L-M26G-560I,2L-M26G-560I-150925-row877,6,0,6,13.52,15/09/25
D0-C7C0-H6LN,D0-C7C0-H6LN-150925-row876,12,0,12,2.74,15/09/25
L1-54EX-56YC,L1-54EX-56YC-150925-row874,24,0,24,5.35,15/09/25
VL-48KZ-J3F2,VL-48KZ-J3F2-150925-row872,40,0,40,1.06,15/09/25
SE-IQQJ-EOU3,SE-IQQJ-EOU3-150925-row871,5,0,5,10.38,15/09/25
8L-INBX-OUTU,8L-INBX-OUTU-150925-row870,30,0,30,2.49,15/09/25
8M-LM6B-F2Q5,8M-LM6B-F2Q5-150925-row869,4,0,4,1.7,15/09/25
JV-D1TI-6UF6,JV-D1TI-6UF6-150925-row867,15,0,15,3.6,15/09/25
XE-YPAI-HX9F,XE-YPAI-HX9F-150925-row866,50,0,50,4.79,15/09/25
Z7-26PV-O9LR,Z7-26PV-O9LR-150925-row865,200,0,200,4.44,15/09/25
XH-0LAE-FQO5,XH-0LAE-FQO5-150925-row864,350,0,350,2.9,15/09/25
I2-6YKQ-CIBP,I2-6YKQ-CIBP-090925-row862,10,0,10,3.57,09/09/25
