Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
202-1629355-6337159,7.99,0.0,0.0,7.99,202-1629355-6337159,7.99,0.0,0.0,0.0,7.99,0.0
202-1636609-8178705,7.0,0.0,0.0,7.0,202-1636609-8178705,7.0,0.0,0.0,0.0,7.0,0.0
202-1638024-1644346,5.98,0.0,0.0,5.98,202-1638024-1644346,5.98,0.0,0.0,0.0,5.98,0.0
202-1638647-7553965,5.98,0.0,0.0,5.98,202-1638647-7553965,5.98,0.0,0.0,0.0,5.98,0.0
202-1641725-8110715,6.8,0.0,0.0,6.8,202-1641725-8110715,6.8,0.0,0.0,0.0,6.8,0.0
202-1657202-2677966,18.48,0.0,0.0,18.48,202-1657202-2677966,18.48,0.0,0.0,0.0,18.48,0.0
202-1669017-0865113,71.99,0.0,0.0,71.99,202-1669017-0865113,71.99,0.0,0.0,0.0,71.99,0.0
202-1682054-4702715,6.3,0.0,0.0,6.3,202-1682054-4702715,6.3,0.0,0.0,0.0,6.3,0.0
202-1693352-5939563,6.58,0.0,0.0,6.58,202-1693352-5939563,6.58,0.0,0.0,0.0,6.58,0.0
202-1706121-1036339,9.49,0.0,0.0,9.49,202-1706121-1036339,9.49,0.0,0.0,0.0,9.49,0.0
202-1710558-2853952,14.34,0.0,0.0,14.34,202-1710558-2853952,14.34,0.0,0.0,0.0,14.34,0.0
202-1712276-1581150,11.19,-2.08,0.0,9.11,202-1712276-1581150,8.7,2.49,0.0,0.0,11.19,2.08
202-1715806-1017961,5.98,0.0,0.0,5.98,202-1715806-1017961,5.98,0.0,0.0,0.0,5.98,0.0
202-1753766-9933911,2.98,0.0,0.0,2.98,202-1753766-9933911,2.98,0.0,0.0,0.0,2.98,0.0
202-1764272-7422733,5.07,0.0,0.0,5.07,202-1764272-7422733,5.07,0.4,0.0,0.0,5.470000000000001,0.4
202-1772928-5352348,6.8,0.0,0.0,6.8,202-1772928-5352348,6.8,0.0,0.0,0.0,6.8,0.0
202-1792749-6339569,7.85,0.0,0.0,7.85,202-1792749-6339569,7.85,0.0,0.0,0.0,7.85,0.0
202-1800529-6894731,7.97,0.0,0.0,7.97,202-1800529-6894731,7.97,0.0,0.0,0.0,7.97,0.0
202-1812107-7640360,10.99,0.0,0.0,10.99,202-1812107-7640360,10.99,0.0,0.0,0.0,10.99,0.0
202-1819023-4430769,5.98,0.0,0.0,5.98,202-1819023-4430769,5.98,0.66,0.0,0.0,6.640000000000001,0.66
202-1819662-2681912,13.99,0.0,0.0,13.99,202-1819662-2681912,13.99,0.0,0.0,0.0,13.99,0.0
202-1824054-3739507,6.8,0.0,0.0,6.8,202-1824054-3739507,6.8,0.0,0.0,0.0,6.8,0.0
202-1847239-8889133,4.45,0.0,0.0,4.45,202-1847239-8889133,4.45,0.5,0.0,0.0,4.95,0.5
202-1850505-9067501,5.65,0.0,0.0,5.65,202-1850505-9067501,5.65,0.0,0.0,0.0,5.65,0.0
202-1854630-5117908,11.99,0.0,0.0,11.99,202-1854630-5117908,11.99,0.66,0.0,0.0,12.65,0.66
202-1857567-4401968,8.7,0.0,0.0,8.7,202-1857567-4401968,8.7,0.0,0.0,0.0,8.7,0.0
202-1875938-0083536,7.02,0.0,0.0,7.02,202-1875938-0083536,7.02,0.5,0.0,0.0,7.52,0.5
202-1880608-0670762,29.9,0.0,0.0,29.9,202-1880608-0670762,29.9,0.0,0.0,0.0,29.9,0.0
202-1897564-7767561,6.99,0.0,0.0,6.99,202-1897564-7767561,6.99,0.0,0.0,0.0,6.99,0.0
202-1903292-2137133,2.97,0.0,0.0,2.97,202-1903292-2137133,2.97,0.0,0.0,0.0,2.97,0.0
202-1907723-5150755,5.98,0.0,0.0,5.98,202-1907723-5150755,5.98,0.0,0.0,0.0,5.98,0.0
202-1908604-0278741,25.72,0.0,0.0,25.72,202-1908604-0278741,25.72,1.99,0.0,0.0,27.709999999999997,1.99
202-1919149-9506716,5.98,0.0,0.0,5.98,202-1919149-9506716,5.98,0.0,0.0,0.0,5.98,0.0
202-1937124-7328357,5.65,0.0,0.0,5.65,202-1937124-7328357,5.65,0.0,0.0,0.0,5.65,0.0
202-1942650-6125905,6.8,0.0,0.0,6.8,202-1942650-6125905,6.8,0.0,0.0,0.0,6.8,0.0
202-1948112-0443524,5.2,0.0,0.0,5.2,202-1948112-0443524,5.2,0.0,0.0,0.0,5.2,0.0
202-1970492-1445100,6.8,0.0,0.0,6.8,202-1970492-1445100,6.8,0.0,0.0,0.0,6.8,0.0
202-1978103-2734748,6.73,0.0,0.0,6.73,202-1978103-2734748,6.73,0.0,0.0,0.0,6.73,0.0
202-1992250-8625106,6.8,0.0,0.0,6.8,202-1992250-8625106,6.8,0.0,0.0,0.0,6.8,0.0
202-2033545-5220340,5.98,0.0,0.0,5.98,202-2033545-5220340,5.98,0.0,0.0,0.0,5.98,0.0
202-2060735-2754752,7.21,0.0,0.0,7.21,202-2060735-2754752,7.21,0.0,0.0,0.0,7.21,0.0
202-2066967-7744304,6.8,0.0,0.0,6.8,202-2066967-7744304,6.8,0.0,0.0,0.0,6.8,0.0
202-2078539-0288357,8.98,0.0,0.0,8.98,202-2078539-0288357,8.98,0.0,0.0,0.0,8.98,0.0
202-2101601-1221167,63.99,0.0,0.0,63.99,202-2101601-1221167,63.99,0.0,0.0,0.0,63.99,0.0
202-2115864-9597143,12.24,0.0,0.0,12.24,202-2115864-9597143,12.24,0.0,0.0,0.0,12.24,0.0
202-2129703-1358763,7.92,0.0,0.0,7.92,202-2129703-1358763,7.92,0.0,0.0,0.0,7.92,0.0
202-2143388-2542702,5.73,0.0,0.0,5.73,202-2143388-2542702,5.73,0.0,0.0,0.0,5.73,0.0
202-2144619-6160320,13.99,0.0,0.0,13.99,202-2144619-6160320,13.99,0.0,0.0,0.0,13.99,0.0
202-2158890-7960345,15.74,0.0,0.0,15.74,202-2158890-7960345,15.74,0.0,0.0,0.0,15.74,0.0
202-2196159-2295562,18.59,-4.16,0.0,14.43,202-2196159-2295562,13.6,4.99,0.0,0.0,18.59,4.16
202-2221147-7954734,18.1,0.0,0.0,18.1,202-2221147-7954734,18.1,0.0,0.0,0.0,18.1,0.0
202-2261654-9449951,8.04,0.0,0.0,8.04,202-2261654-9449951,8.04,0.0,0.0,0.0,8.04,0.0
202-2273736-4065107,14.11,0.0,0.0,14.11,202-2273736-4065107,14.11,0.0,0.0,0.0,14.11,0.0
202-2277178-3605917,3.0,0.0,0.0,3.0,202-2277178-3605917,3.0,0.0,0.0,0.0,3.0,0.0
202-2284349-1985166,8.83,0.0,0.0,8.83,202-2284349-1985166,8.83,0.0,0.0,0.0,8.83,0.0
202-2287206-3631500,14.95,0.0,0.0,14.95,202-2287206-3631500,14.95,0.0,0.0,0.0,14.95,0.0
202-2287283-0990722,23.7,0.0,0.0,23.7,202-2287283-0990722,23.7,0.0,0.0,0.0,23.7,0.0
202-2297067-0913966,6.8,0.0,0.0,6.8,202-2297067-0913966,6.8,0.0,0.0,0.0,6.8,0.0
202-2312691-8067549,5.08,0.0,0.0,5.08,202-2312691-8067549,5.08,0.0,0.0,0.0,5.08,0.0
202-2325117-5319552,2.97,0.0,0.0,2.97,202-2325117-5319552,2.97,0.0,0.0,0.0,2.97,0.0
202-2326186-5301124,6.8,0.0,0.0,6.8,202-2326186-5301124,6.8,0.0,0.0,0.0,6.8,0.0
202-2328071-5541929,13.99,0.0,0.0,13.99,202-2328071-5541929,13.99,0.0,0.0,0.0,13.99,0.0
202-2344900-2087569,8.46,0.0,0.0,8.46,202-2344900-2087569,8.46,0.0,0.0,0.0,8.46,0.0
202-2350891-9966758,5.83,0.0,0.0,5.83,202-2350891-9966758,5.83,0.0,0.0,0.0,5.83,0.0
202-2354261-0275516,13.9,0.0,0.0,13.9,202-2354261-0275516,6.95,0.0,0.0,0.0,6.95,-6.95
202-2366137-4181162,8.2,0.0,0.0,8.2,202-2366137-4181162,8.2,0.0,0.0,0.0,8.2,0.0
202-2371212-2292305,5.21,0.0,0.0,5.21,202-2371212-2292305,5.21,0.0,0.0,0.0,5.21,0.0
202-2376114-2188315,7.97,0.0,0.0,7.97,202-2376114-2188315,7.97,0.0,0.0,0.0,7.97,0.0
202-2398444-3024336,7.94,0.0,0.0,7.94,202-2398444-3024336,7.94,0.0,0.0,0.0,7.94,0.0
202-2401393-0549955,6.95,0.0,0.0,6.95,202-2401393-0549955,6.95,0.0,0.0,0.0,6.95,0.0
202-2403781-2889131,40.33,0.0,0.0,40.33,202-2403781-2889131,40.33,1.5,0.0,0.0,41.83,1.5
202-2424766-5253901,5.64,0.0,0.0,5.64,202-2424766-5253901,5.64,0.0,0.0,0.0,5.64,0.0
202-2425726-9882704,6.2,0.0,0.0,6.2,202-2425726-9882704,6.2,0.0,0.0,0.0,6.2,0.0
