order_id,posted_date,settlement_id,amount_type,amount,currency,transaction_type,amount_description,is_estimate,data_level,price_source,raw_json
206-5962197-6085157,2025-12-10T13:13:29Z,,ShippingTax,0.12,GBP,Estimated,Estimated shipping tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""206-5962197-6085157"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingTax""}"
206-5962197-6085157,2025-12-10T13:13:29Z,,ShippingTaxChargeback,-0.12,GBP,Estimated,Estimated shipping tax rebate,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""206-5962197-6085157"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingTaxChargeback""}"
203-7213001-4718745,2025-12-10T13:10:16Z,,Principal,5.98,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.402655+00:00"",""order_id"":""203-7213001-4718745"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-7213001-4718745,2025-12-10T13:10:16Z,,Tax,1.0,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.402655+00:00"",""order_id"":""203-7213001-4718745"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-7729055-9291533,2025-12-08T14:41:55Z,,Principal,9.99,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""206-7729055-9291533"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
206-7729055-9291533,2025-12-08T14:41:55Z,,Tax,1.67,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""206-7729055-9291533"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-7729055-9291533,2025-12-08T14:41:55Z,,ShippingCharge,1.03,GBP,Estimated,Estimated shipping charge,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""206-7729055-9291533"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingCharge""}"
206-7729055-9291533,2025-12-08T14:41:55Z,,ShippingChargeback,-1.03,GBP,Estimated,Estimated shipping rebate,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""206-7729055-9291533"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingChargeback""}"
206-7729055-9291533,2025-12-08T14:41:55Z,,ShippingTax,0.21,GBP,Estimated,Estimated shipping tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""206-7729055-9291533"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingTax""}"
206-7729055-9291533,2025-12-08T14:41:55Z,,ShippingTaxChargeback,-0.21,GBP,Estimated,Estimated shipping tax rebate,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""206-7729055-9291533"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingTaxChargeback""}"
205-0897377-1487537,2025-12-10T17:23:13Z,,Principal,2.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""205-0897377-1487537"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
205-0897377-1487537,2025-12-10T17:23:13Z,,Tax,0.5,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.403654+00:00"",""order_id"":""205-0897377-1487537"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
