order_id,posted_date,settlement_id,amount_type,amount,currency
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,GiftWrapTax,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,ShippingCharge,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,ShippingTax,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,FBAPerUnitFulfillmentFee,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,Commission,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,FixedClosingFee,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,GiftwrapChargeback,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,ShippingChargeback,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,VariableClosingFee,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,DigitalServicesFee,,GBP
204-6225192-3648323,2025-12-11T20:39:15Z,204-6225192-3648323,Principal,,GBP
